,FABRIC NAME,COLOR OF DRESS,PRICE,URL
31,Printed Georgette Stitched Anarkali Gown,Yellow,₹649,https://www.flipkart.com/fashion2wear-anarkali-gown/p/itmfb2b9c8ab43cb?pid=GWNGG66QFYMUYYEJ&lid=LSTGWNGG66QFYMUYYEJU8KNAS&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGG66QFYMUYYEJ.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
32,Dyed Georgette Stitched Anarkali Gown,Purple,₹499,https://www.flipkart.com/femvy-anarkali-gown/p/itm6b5ccd57150df?pid=GWNGC5MXEC8AJHQK&lid=LSTGWNGC5MXEC8AJHQKBDAWAZ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGC5MXEC8AJHQK.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
33,Net Semi Stitched Anarkali Gown,Purple,₹674,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itm3f7ec434023be?pid=GWNG9UHEB8BWWSCG&lid=LSTGWNG9UHEB8BWWSCGBB7OAY&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNG9UHEB8BWWSCG.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
34,Printed Crepe Stitched Anarkali Gown,Pink,₹297,https://www.flipkart.com/ne-style-anarkali-gown/p/itm96e9f6db7f68f?pid=GWNGBG8PMMCHF7ZQ&lid=LSTGWNGBG8PMMCHF7ZQXZ9MPP&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8PMMCHF7ZQ.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
35,Embroidered Silk Blend Semi Stitched Anarkali Gown,Maroon,₹579,https://www.flipkart.com/kedar-fab-anarkali-gown/p/itm5b871f3e1ad0f?pid=LCHFJX88WYMZKGDQ&lid=LSTLCHFJX88WYMZKGDQ6I9P0S&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.LCHFJX88WYMZKGDQ.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
36,Floral Print Rayon Blend Stitched Anarkali Gown,Pink,₹749,https://www.flipkart.com/ftdiva-anarkali-gown/p/itm82f7cbf02b4eb?pid=GWNGGGCN9ZVGJA6C&lid=LSTGWNGGGCN9ZVGJA6CM3H9TT&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGGGCN9ZVGJA6C.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
37,Floral Print Georgette Stitched Anarkali Gown,Blue,₹649,https://www.flipkart.com/fashion2wear-anarkali-gown/p/itmfb22a9a343292?pid=GWNGH2HYNQZENGBG&lid=LSTGWNGH2HYNQZENGBGUE2AJP&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGH2HYNQZENGBG.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
38,Dyed Georgette Stitched Anarkali Gown,Light Green,₹499,https://www.flipkart.com/femvy-anarkali-gown/p/itm0534b3e3bd27c?pid=GWNGC5N7NJYR6S3X&lid=LSTGWNGC5N7NJYR6S3XBE4CAX&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGC5N7NJYR6S3X.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
39,Printed Crepe Stitched Anarkali Gown,Maroon,₹284,https://www.flipkart.com/ne-style-anarkali-gown/p/itm6b6ed7e3adeb2?pid=GWNGBG8MSPCKDKF9&lid=LSTGWNGBG8MSPCKDKF9GNWA3I&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=e7d56411-f8e9-46f0-b382-a514308e9eb9.GWNGBG8MSPCKDKF9.SEARCH&ppt=None&ppn=None&ssid=zphzy2tlb40000001684766906706&qH=2f1038825bd73a92
40,Georgette Stitched Flared/A-line Gown,Brown,₹799,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm86aa06d37fd8f?pid=GWNGFGMKUZ4QZK9Q&lid=LSTGWNGFGMKUZ4QZK9QAVI8ME&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=en_QkdjYb8RUed%2BVBXSZd5JTn9egNNaSjdylfF1l2zkjtj9JqEt6CyUEBMMlU0uTFpeJqsOOhTEarq6AAdEuiT5mQ%3D%3D&ppt=None&ppn=None&ssid=ikdmxr2pj40000001684766907801&qH=2f1038825bd73a92
41,Georgette Stitched Flared/A-line Gown,Maroon,₹779,https://www.flipkart.com/vintage-colour-flared-a-line-gown/p/itm1bf64a5bb9d8a?pid=GWNGFGMKYUBW4EKF&lid=LSTGWNGFGMKYUBW4EKFKGTK3H&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=en_QkdjYb8RUed%2BVBXSZd5JTn9egNNaSjdylfF1l2zkjtidUOV4WOP0kMX460gtyC63nZVGdc2xkmKJy6T57JacUQ%3D%3D&ppt=None&ppn=None&ssid=ikdmxr2pj40000001684766907801&qH=2f1038825bd73a92
42,Net Semi Stitched Anarkali Gown,Light Blue,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itm5cee751e7fa82?pid=GWNG3VXQXVVSNXSN&lid=LSTGWNG3VXQXVVSNXSNJ1UNJJ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=17337f8a-dc9d-48cf-9b58-d62adfb5eec2.GWNG3VXQXVVSNXSN.SEARCH&ppt=None&ppn=None&ssid=ikdmxr2pj40000001684766907801&qH=2f1038825bd73a92
43,Printed Georgette Stitched Anarkali Gown,Light Blue,₹649,https://www.flipkart.com/fashion2wear-anarkali-gown/p/itm0150e195af21e?pid=GWNGHNHDHKY6WECR&lid=LSTGWNGHNHDHKY6WECRNISONN&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=17337f8a-dc9d-48cf-9b58-d62adfb5eec2.GWNGHNHDHKY6WECR.SEARCH&ppt=None&ppn=None&ssid=ikdmxr2pj40000001684766907801&qH=2f1038825bd73a92
44,Cotton Silk Stitched Flared/A-line Gown,Maroon,₹505,https://www.flipkart.com/leriya-fashion-flared-a-line-gown/p/itm54816a7806bed?pid=GWNGA2BGUZUMJDN8&lid=LSTGWNGA2BGUZUMJDN8REZVNW&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_45&otracker=search&otracker1=search&fm=organic&iid=17337f8a-dc9d-48cf-9b58-d62adfb5eec2.GWNGA2BGUZUMJDN8.SEARCH&ppt=None&ppn=None&ssid=ikdmxr2pj40000001684766907801&qH=2f1038825bd73a92
45,"Self Design, Embellished Net Semi Stitched Flared/A-lin...",Pink,₹499,https://www.flipkart.com/3buddy-fashion-flared-a-line-gown/p/itmf3078bb7af0b9?pid=GWNGHU99SHH4DCXK&lid=LSTGWNGHU99SHH4DCXK35TW82&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_46&otracker=search&otracker1=search&fm=organic&iid=17337f8a-dc9d-48cf-9b58-d62adfb5eec2.GWNGHU99SHH4DCXK.SEARCH&ppt=None&ppn=None&ssid=ikdmxr2pj40000001684766907801&qH=2f1038825bd73a92
46,Applique Silk Blend Stitched Flared/A-line Gown,Red,₹399,https://www.flipkart.com/glyden-trendz-flared-a-line-gown/p/itmdb976007781f1?pid=GWNGJ8ERVMSDW9NN&lid=LSTGWNGJ8ERVMSDW9NN2UIPUB&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_47&otracker=search&otracker1=search&fm=organic&iid=en_QkdjYb8RUed%2BVBXSZd5JTn9egNNaSjdylfF1l2zkjtio%2B22br2LxYnvRCvbR6x9nij%2Fdw1Xfx43VfYTOnN2dNQ%3D%3D&ppt=None&ppn=None&ssid=ikdmxr2pj40000001684766907801&qH=2f1038825bd73a92
