S.No,FABRIC_NAME,COLOR_OF_DRESS,price,PRICE,URL
195,Printed Georgette Stitched Anarkali Gown,Maroon,649,₹649,EXCEL_short
196,Embroidered Net Semi Stitched Anarkali Gown,Blue,678,₹678,EXCEL_short
197,Georgette Stitched Anarkali Gown,Pink,799,₹799,EXCEL_short
198,Embroidered Silk Blend Semi Stitched Anarkali Gown,Green,499,₹499,EXCEL_short
199,Embroidered Georgette Stitched Anarkali Gown,"Orange, Maroon",424,₹424,EXCEL_short
200,"Embroidered, Embellished, Solid, Self Design, Dyed Orga...",Pink,399,₹399,EXCEL_short
201,Embroidered Net Semi Stitched Anarkali Gown,Maroon,432,₹432,EXCEL_short
202,Solid Georgette Stitched Flared/A-line Gown,Black,499,₹499,EXCEL_short
203,Embroidered Satin Semi Stitched Anarkali Gown,Grey,369,₹369,EXCEL_short
204,Net Semi Stitched Anarkali Gown,Pink,399,₹399,EXCEL_short
205,Floral Print Rayon Blend Stitched Flared/A-line Gown,White,390,₹390,EXCEL_short
206,Embroidered Organza Stitched Anarkali Gown,Pink,699,₹699,EXCEL_short
207,Georgette Stitched Flared/A-line Gown,Maroon,779,₹779,EXCEL_short
208,"Printed, Floral Print Rayon Blend Stitched Flared/A-lin...",Black,445,₹445,EXCEL_short
209,Embroidered Viscose Rayon Stitched Anarkali Gown,Pink,599,₹599,EXCEL_short
210,Embroidered Rayon Blend Stitched Anarkali Gown,Dark Blue,433,₹433,EXCEL_short
211,Floral Print Net Stitched Flared/A-line Gown,Light Blue,778,₹778,EXCEL_short
212,Silk Blend Stitched Anarkali Gown,Purple,471,₹471,EXCEL_short
213,Self Design Satin Stitched Flared/A-line Gown,Black,370,₹370,EXCEL_short
214,Georgette Stitched Anarkali Gown,Black,848,₹848,EXCEL_short
215,Printed Rayon Blend Stitched Anarkali Gown,Purple,444,₹444,EXCEL_short
216,Applique Silk Blend Stitched Flared/A-line Gown,Red,399,₹399,EXCEL_short
217,Floral Print Net Stitched Flared/A-line Gown,Pink,778,₹778,EXCEL_short
218,Printed Viscose Rayon Stitched Anarkali Gown,Light Blue,447,₹447,EXCEL_short
219,Rayon Blend Stitched Anarkali Gown,Maroon,494,₹494,EXCEL_short
220,Applique Silk Blend Stitched Flared/A-line Gown,Purple,399,₹399,EXCEL_short
221,Rayon Blend Stitched Anarkali Gown,Pink,337,₹337,EXCEL_short
222,Embroidered Georgette Stitched Flared/A-line Gown,Dark Green,939,₹939,EXCEL_short
223,Abstract Cotton Blend Semi Stitched Flared/A-line Gown,"White, Black",299,₹299,EXCEL_short
224,Self Design Cotton Rayon Stitched Anarkali Gown,Green,705,₹705,EXCEL_short
225,Self Design Rayon Blend Stitched Anarkali Gown,Light Blue,399,₹399,EXCEL_short
226,Pure Cotton Stitched Anarkali Gown,"Blue, White",599,₹599,EXCEL_short
227,Printed Rayon Blend Stitched Anarkali Gown,Blue,386,₹386,EXCEL_short
228,Georgette Stitched Anarkali Gown,Silver,799,₹799,EXCEL_short
229,"Embroidered, Printed Rayon Blend Stitched Flared/A-line...",Dark Green,419,₹419,EXCEL_short
230,Embellished Rayon Blend Stitched Anarkali Gown,Red,499,₹499,EXCEL_short
231,Rayon Blend Stitched Flared/A-line Gown,Yellow,438,₹438,EXCEL_short
232,Net Semi Stitched Anarkali Gown,Purple,625,₹625,EXCEL_short
233,Printed Georgette Stitched Anarkali Gown,Black,649,₹649,EXCEL_short
234,Printed Georgette Stitched Anarkali Gown,Blue,649,₹649,EXCEL_short
235,Printed Rayon Blend Semi Stitched Flared/A-line Gown,Blue,379,₹379,EXCEL_short
236,Printed Rayon Blend Stitched Anarkali Gown,White,368,₹368,EXCEL_short
237,Rayon Blend Stitched Anarkali Gown,Light Blue,495,₹495,EXCEL_short
238,Printed Rayon Blend Stitched Flared/A-line Gown,Yellow,449,₹449,EXCEL_short
239,Printed Cotton Blend Stitched Flared/A-line Gown,Multicolor,449,₹449,EXCEL_short
