,FABRIC NAME,COLOR OF DRESS,PRICE,URL
34,Embroidered Net Semi Stitched Anarkali Gown,Dark Green,₹445,https://www.flipkart.com/lookslink-anarkali-gown/p/itm5daaa05db5ed1?pid=GWNGGTQYZBVQFHBN&lid=LSTGWNGGTQYZBVQFHBNO6XY5G&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_35&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGGTQYZBVQFHBN.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
35,Net Semi Stitched Anarkali Gown,Light Blue,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itm5cee751e7fa82?pid=GWNG3VXQXVVSNXSN&lid=LSTGWNG3VXQXVVSNXSNJ1UNJJ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG3VXQXVVSNXSN.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
36,Embroidered Net Semi Stitched Anarkali Gown,Pink,₹499,https://www.flipkart.com/zinariya-fab-anarkali-gown/p/itmbdabe0ea9b901?pid=GWNGGRAZCRBAP7FB&lid=LSTGWNGGRAZCRBAP7FBK9GRFY&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGGRAZCRBAP7FB.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
37,Solid Georgette Stitched Flared/A-line Gown,Maroon,₹499,https://www.flipkart.com/femvy-flared-a-line-gown/p/itmc9e53874b4393?pid=GWNG3N62MHCZMUWE&lid=LSTGWNG3N62MHCZMUWEYLKTPU&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_38&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNG3N62MHCZMUWE.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
38,Printed Viscose Rayon Stitched Anarkali Gown,Maroon,₹664,https://www.flipkart.com/fidoza-anarkali-gown/p/itm90325a8626736?pid=GWNGNY4HHVPWUPNZ&lid=LSTGWNGNY4HHVPWUPNZZ7XPXJ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_39&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGNY4HHVPWUPNZ.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
39,Printed Crepe Stitched Anarkali Gown,Light Green,₹297,https://www.flipkart.com/ne-style-anarkali-gown/p/itm4ea5b13932375?pid=GWNGBG8PDRZCBDKX&lid=LSTGWNGBG8PDRZCBDKX80WJKZ&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=1406752a-6901-46b5-8406-90452f03e920.GWNGBG8PDRZCBDKX.SEARCH&ppt=None&ppn=None&ssid=p6pcpi993k0000001684673309651&qH=2f1038825bd73a92
40,Floral Print Crepe Stitched Anarkali Gown,Blue,₹314,https://www.flipkart.com/lanya-fab-anarkali-gown/p/itm9f55259c889cb?pid=GWNGPHT3A77VNZDE&lid=LSTGWNGPHT3A77VNZDEVHA2PW&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_41&otracker=search&otracker1=search&fm=organic&iid=en_PjX%2F84GE7LGdLeUE5Nfdel%2BB6q0Ril0PciJjrRQGkTK9U9RZ9actg6bk%2B8gOlIt%2FI8wZTaBRbvv8QscTDi7byQ%3D%3D&ppt=None&ppn=None&ssid=ixvhugn1dc0000001684673310544&qH=2f1038825bd73a92
41,Floral Print Crepe Stitched Anarkali Gown,Light Blue,₹349,https://www.flipkart.com/lanya-fab-anarkali-gown/p/itmf67f5bef21f3b?pid=GWNGPHT3FG3HBPUS&lid=LSTGWNGPHT3FG3HBPUSGFSZFS&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_42&otracker=search&otracker1=search&fm=organic&iid=en_PjX%2F84GE7LGdLeUE5Nfdel%2BB6q0Ril0PciJjrRQGkTJtA5kgPPfo0wEFMaL82KFzqt3xekPvjQpUO38AQBvjdw%3D%3D&ppt=None&ppn=None&ssid=ixvhugn1dc0000001684673310544&qH=2f1038825bd73a92
42,Printed Crepe Stitched Anarkali Gown,Pink,₹300,https://www.flipkart.com/ne-style-anarkali-gown/p/itm1601328103648?pid=GWNGBG8PECFMR7FS&lid=LSTGWNGBG8PECFMR7FSAAGM16&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_43&otracker=search&otracker1=search&fm=organic&iid=a4fc9ad5-ed93-4bd8-b174-fea7caa7b198.GWNGBG8PECFMR7FS.SEARCH&ppt=None&ppn=None&ssid=ixvhugn1dc0000001684673310544&qH=2f1038825bd73a92
43,Printed Crepe Stitched Anarkali Gown,Light Green,₹300,https://www.flipkart.com/ne-style-anarkali-gown/p/itma2a0a6104020d?pid=GWNGBG8PGZVEW6KN&lid=LSTGWNGBG8PGZVEW6KNCODFFV&marketplace=FLIPKART&q=gowns&store=clo%2Fodx%2Fod7&srno=s_2_44&otracker=search&otracker1=search&fm=organic&iid=a4fc9ad5-ed93-4bd8-b174-fea7caa7b198.GWNGBG8PGZVEW6KN.SEARCH&ppt=None&ppn=None&ssid=ixvhugn1dc0000001684673310544&qH=2f1038825bd73a92
